# initial   = 0.5
# chunksize = 10
# number processes,last generationm,time,games,plays,passes
2,9,133.509842,9920,2035391,431557
3,9,67.287789,9920,2035391,431557
4,9,45.394298,9920,2035391,431557
5,9,34.339304,9920,2035391,431557
6,9,27.531056,9920,2035391,431557
7,9,23.125053,9920,2035391,431557
8,9,19.974166,9920,2035391,431557
9,9,17.529284,9920,2035391,431557
10,9,15.886190,9920,2035391,431557
11,9,14.502796,9920,2035391,431557
12,9,13.377968,9920,2035391,431557
13,9,12.332790,9920,2035391,431557
14,9,11.465092,9920,2035391,431557
15,9,10.675839,9920,2035391,431557
16,9,10.171525,9920,2035391,431557
17,9,9.794543,9920,2035391,431557
18,9,9.159259,9920,2035391,431557
19,9,8.789230,9920,2035391,431557
20,9,8.470837,9920,2035391,431557
21,9,8.122976,9920,2035391,431557
22,9,7.753045,9920,2035391,431557
23,9,7.486978,9920,2035391,431557
24,9,7.336001,9920,2035391,431557
25,9,7.091658,9920,2035391,431557
26,9,7.054432,9920,2035391,431557
27,9,6.701990,9920,2035391,431557
28,9,6.593103,9920,2035391,431557
29,9,6.651210,9920,2035391,431557
30,9,6.248821,9920,2035391,431557
31,9,6.093408,9920,2035391,431557
32,9,5.826719,9920,2035391,431557
33,9,5.726958,9920,2035391,431557
34,9,5.716560,9920,2035391,431557
35,9,5.660636,9920,2035391,431557
36,9,5.546887,9920,2035391,431557
37,9,5.459114,9920,2035391,431557
38,9,5.646635,9920,2035391,431557
39,9,5.332370,9920,2035391,431557
40,9,5.204926,9920,2035391,431557
41,9,5.012960,9920,2035391,431557
42,9,5.190490,9920,2035391,431557
43,9,5.141138,9920,2035391,431557
44,9,4.738721,9920,2035391,431557
45,9,4.708458,9920,2035391,431557
46,9,4.987791,9920,2035391,431557
47,9,4.813320,9920,2035391,431557
48,9,4.870145,9920,2035391,431557
49,9,4.859834,9920,2035391,431557
50,9,4.797863,9920,2035391,431557
51,9,4.520597,9920,2035391,431557
52,9,4.559473,9920,2035391,431557
53,9,4.728438,9920,2035391,431557
54,9,4.262862,9920,2035391,431557
55,9,4.399266,9920,2035391,431557
56,9,4.478335,9920,2035391,431557
57,9,4.310093,9920,2035391,431557
58,9,4.461159,9920,2035391,431557
59,9,4.116772,9920,2035391,431557
60,9,4.067806,9920,2035391,431557
61,9,4.169834,9920,2035391,431557
62,9,4.154393,9920,2035391,431557
63,9,4.051930,9920,2035391,431557
64,9,4.030373,9920,2035391,431557
65,9,3.982065,9920,2035391,431557
66,9,4.126756,9920,2035391,431557
67,9,4.144610,9920,2035391,431557
68,9,3.953945,9920,2035391,431557
69,9,3.889064,9920,2035391,431557
70,9,3.974106,9920,2035391,431557
71,9,3.862629,9920,2035391,431557
72,9,3.883313,9920,2035391,431557
73,9,3.787262,9920,2035391,431557
74,9,3.783817,9920,2035391,431557
75,9,3.755339,9920,2035391,431557
76,9,3.840576,9920,2035391,431557
77,9,3.941559,9920,2035391,431557
78,9,3.667620,9920,2035391,431557
79,9,3.776775,9920,2035391,431557
80,9,3.680977,9920,2035391,431557
81,9,3.881425,9920,2035391,431557
82,9,3.867703,9920,2035391,431557
83,9,3.759701,9920,2035391,431557
84,9,3.645034,9920,2035391,431557
85,9,3.746925,9920,2035391,431557
86,9,3.838447,9920,2035391,431557
87,9,3.758717,9920,2035391,431557
88,9,3.591176,9920,2035391,431557
89,9,3.637948,9920,2035391,431557
90,9,3.618501,9920,2035391,431557
91,9,3.571962,9920,2035391,431557
92,9,3.600766,9920,2035391,431557
93,9,3.678845,9920,2035391,431557
94,9,3.479875,9920,2035391,431557
95,9,3.653430,9920,2035391,431557
96,9,3.610563,9920,2035391,431557
