# num processes,num networks,last generation,time,games,plays,passes
1,4,9,0.641886,120,10120,2341
2,5,9,1.123107,200,25793,6613
2,6,9,1.535826,300,35758,9579
4,7,9,1.218654,420,46712,11206
5,8,9,2.001415,560,106704,20013
6,9,9,1.797630,720,110169,20281
8,10,9,1.781438,900,154413,23705
9,11,9,2.766015,1100,230656,57255
11,12,9,3.056519,1320,279296,76052
13,13,9,2.402083,1560,253808,52348
15,14,9,2.709025,1820,304405,77962
18,15,9,3.039688,2100,388842,93182
20,16,9,2.961858,2400,485312,97322
23,17,9,3.483801,2720,623788,152558
26,18,9,3.238511,3060,648839,131498
28,19,9,3.415608,3420,672461,146540
32,20,9,3.650570,3800,761011,171619
35,21,9,3.128270,4200,775147,165270
38,22,9,3.975072,4620,1037758,221183
42,23,9,3.494685,5060,1056917,228903
46,24,9,3.575878,5520,1106400,246317
50,25,9,3.825089,6000,1305020,277495
54,26,9,4.405345,6500,1452391,297271
58,27,9,3.579211,7020,1125746,274957
63,28,9,3.392561,7560,1235426,287861
68,29,9,4.017260,8120,1711356,390524
72,30,9,4.136642,8700,1584802,414185
78,31,9,5.422052,9300,1871477,431187
83,32,9,5.055890,9920,2035391,431557
88,33,9,5.550259,10560,1857400,419259
94,34,9,6.435326,11220,1982655,488320
99,35,9,6.552847,11900,2333144,496261
105,36,9,6.261484,12600,2987084,492290
111,37,9,6.711528,13320,2977599,607666
117,38,9,6.170400,14060,3148799,623853
