# num processes,num networks,last generation,time,games,plays,passes
2,5,9,1.696950,200,25793,6613
2,6,9,2.492341,300,35758,9579
4,7,9,1.168788,420,46712,11206
5,8,9,1.689049,560,106704,20013
6,9,9,1.513720,720,110169,20281
8,10,9,1.653610,900,154413,23705
9,11,9,2.144705,1100,230656,57255
11,12,9,2.083449,1320,279296,76052
13,13,9,1.887317,1560,253808,52348
15,14,9,1.929098,1820,304405,77962
18,15,9,2.016872,2100,388842,93182
20,16,9,2.122240,2400,485312,97322
23,17,9,2.199040,2720,623788,152558
26,18,9,2.094909,3060,648839,131498
28,19,9,2.137497,3420,672461,146540
32,20,9,2.007723,3800,761011,171619
35,21,9,1.880939,4200,775147,165270
38,22,9,2.397828,4620,1037758,221183
42,23,9,2.105616,5060,1056917,228903
46,24,9,1.986542,5520,1106400,246317
50,25,9,2.226603,6000,1305020,277495
54,26,9,2.340564,6500,1452391,297271
58,27,9,1.720507,7020,1125746,274957
63,28,9,2.063320,7560,1235426,287861
68,29,9,2.043556,8120,1711356,390524
72,30,9,2.015625,8700,1584802,414185
78,31,9,2.018993,9300,1871477,431187
83,32,9,2.011210,9920,2035391,431557
88,33,9,2.087883,10560,1857400,419259
94,34,9,2.167890,11220,1982655,488320
99,35,9,2.341753,11900,2333144,496261
105,36,9,2.607710,12600,2987084,492290
111,37,9,2.653293,13320,2977599,607666
117,38,9,2.199046,14060,3148799,623853
